name,bike_availability
5th St at Folsom St,17.066936208445643
Harry Bridges Plaza (Ferry Building),14.679433170318442
San Francisco Caltrain 2 (330 Townsend),13.820136054421763
San Jose Diridon Caltrain Station,13.742543960980623
2nd at Townsend,12.68211269413426
Steuart at Market,12.646042869978134
Market at Sansome,12.618470029521195
Mountain View Caltrain Station,12.336673084328083
Civic Center BART (7th at Market),11.962595302271795
Redwood City Caltrain Station,11.854211046299156
San Francisco Caltrain (Townsend at 4th),11.791723783853175
Temporary Transbay Terminal (Howard at Beale),11.76549057888183
San Antonio Caltrain Station,10.501170581440103
Palo Alto Caltrain Station,10.274593762033085
Powell Street BART,10.155481966371456
SJSU 4th at San Carlos,9.266225131562075
Market at 10th,9.189077140290093
MLK Library,9.03113849313313
Powell at Post (Union Square),8.920903606725762
5th S. at E. San Salvador St,8.904761904761903
Embarcadero at Bryant,8.621524836349582
Golden Gate at Polk,8.542020279810016
California Ave Caltrain Station,8.454948016942613
,8.269888183707454
Arena Green / SAP Center,8.22930188339886
South Van Ness at Market,8.169903735078904
San Jose Civic Center,8.168617635733513
Paseo de San Antonio,8.076916955461428
Market at 4th,8.054955718136274
San Francisco City Hall,8.03725498257769
Yerba Buena Center of the Arts (3rd @ Howard),8.03095623154921
Spear at Folsom,7.966196893851914
Grant Avenue at Columbus Avenue,7.860503114506082
Japantown,7.709985881144922
Middlefield Light Rail Station,7.556906687203177
Beale at Market,7.489072006160944
Adobe on Almaden,7.462533692722385
San Salvador at 1st,7.374591068998289
Washington at Kearney,7.329033500192562
Park at Olive,7.316449749711174
Redwood City Public Library,7.303762805307353
San Pedro Square,7.28380182261585
Redwood City Medical Center,7.2467338261198435
Ryland Park,7.2462315117095395
San Mateo County Center,7.110925955201486
SJSU - San Salvador at 9th,7.023799255551281
San Antonio Shopping Center,6.966663100398194
Townsend at 7th,6.799899884482116
Charleston Park/ North Bayshore Area,6.764962135797722
Howard at 2nd,6.713958538891339
Mechanics Plaza (Market at Battery),6.685991528686929
Stanford in Redwood City,6.664681684414445
Post at Kearney,6.588178667693519
5th at Howard,6.5225619304325555
Embarcadero at Folsom,6.507874906771604
Mountain View City Hall,6.423796688486724
Mezes Park,6.398262470401496
Franklin at Maple,6.384609346452117
St James Park,6.383488640739328
Embarcadero at Sansome,6.380166859196504
Santa Clara County Civic Center,6.303350577321815
2nd at South Park,6.227069695802847
Davis at Jackson,6.217271210370954
San Jose City Hall,6.057728147862921
University and Emerson,6.0008471313053615
S. Market st at Park Ave,5.601527403414197
2nd at Folsom,5.582869363603176
Clay at Battery,5.307675523039408
Embarcadero at Vallejo,5.234562957258379
Broadway St at Battery St,5.054055572641913
Santa Clara at Almaden,5.013826209729188
Cowper at University,5.004643819792077
Cyril Magnin St at Ellis St,4.787061994609164
Commercial at Montgomery,4.68044410216917
Castro Street and El Camino Real,4.219781490259537
