count,start_station_name
8411,Embarcadero at Sansome
7568,Harry Bridges Plaza (Ferry Building)
3175,Embarcadero at Vallejo
3131,Market at 4th
2712,Powell Street BART
2527,2nd at Townsend
2472,Steuart at Market
2296,Powell at Post (Union Square)
2183,Market at Sansome
2079,Embarcadero at Bryant
2026,Market at 10th
1865,Grant Avenue at Columbus Avenue
1838,San Francisco Caltrain (Townsend at 4th)
1565,Yerba Buena Center of the Arts (3rd @ Howard)
1484,Civic Center BART (7th at Market)
1440,Mechanics Plaza (Market at Battery)
1301,Embarcadero at Folsom
1219,South Van Ness at Market
1203,5th at Howard
1185,Beale at Market
1180,Townsend at 7th
1148,2nd at South Park
1142,Clay at Battery
1127,Washington at Kearny
1077,San Francisco City Hall
1032,San Francisco Caltrain 2 (330 Townsend)
893,Spear at Folsom
885,Howard at 2nd
859,Post at Kearny
853,University and Emerson
831,Commercial at Montgomery
817,Davis at Jackson
813,2nd at Folsom
742,Broadway St at Battery St
741,Golden Gate at Polk
577,Temporary Transbay Terminal (Howard at Beale)
557,San Jose Civic Center
546,Mountain View Caltrain Station
461,Palo Alto Caltrain Station
401,San Pedro Square
372,California Ave Caltrain Station
332,San Jose Diridon Caltrain Station
325,Washington at Kearney
318,Japantown
318,Post at Kearney
307,MLK Library
277,Paseo de San Antonio
270,Mountain View City Hall
252,Cowper at University
243,San Antonio Caltrain Station
238,Arena Green / SAP Center
213,Park at Olive
208,San Salvador at 1st
206,Santa Clara at Almaden
193,Castro Street and El Camino Real
189,SJSU 4th at San Carlos
188,Adobe on Almaden
180,Rengstorff Avenue / California Street
165,San Jose City Hall
164,Evelyn Park and Ride
151,SJSU - San Salvador at 9th
146,Ryland Park
141,Charleston Park/ North Bayshore Area
139,St James Park
132,Redwood City Caltrain Station
114,San Antonio Shopping Center
86,Santa Clara County Civic Center
50,Franklin at Maple
39,San Mateo County Center
39,Redwood City Public Library
38,Stanford in Redwood City
29,Mezes Park
22,Middlefield Light Rail Station
18,5th St at Folsom St
18,Redwood City Medical Center
17,Broadway at Main
17,Cyril Magnin St at Ellis St
14,S. Market St at Park Ave
10,San Jose Government Center
5,Kaiser Hospital
3,5th S at E. San Salvador St
2,Mezes
2,Sequoia Hospital
